Category,Product Name,Brand,Price (KSh),Original Price (KSh),Discount %,High Discount Flag,Rating,Review Count,Product URL,Scraped Date,Storage (GB),RAM (GB),Battery (mAh),Camera (MP),Rating Category,Price Category,Value Score
smartphones,"Infinix Hot 60i'6.7 Inches,8GB RAM+256GB ROM"" 50 MP' Dual SIM'5160 MAh Battery., WATCH, TRIPOD, BUDS","Infinix Hot 60i'6.7 Inches,8GB RAM+256GB ROM"" 50 MP' Dual SIM'5160 MAh Battery., WATCH, TRIPOD, BUDS",18899,30000,37,FALSE,4.1,0,https://www.jumia.co.ke/infinix-hot-60i6.7-inches8gb-ram256gb-rom-50-mp-dual-sim5160-mah-battery.-watch-tripod-buds-319432854.html,07/26/26 13:42,256,8,5160,50,Good,Mid-Range (15k-30k),0.521
smartphones,"Redmi A7 By Xiaomi 6.88"" 64GB ROM + 3GB RAM 50MP 5200mAh (Dual Sim) on screen fingerprint (2 Years Warranty) Blue","Redmi A7 By Xiaomi 6.88"" 64GB ROM + 3GB RAM 50MP 5200mAh (Dual Sim) on screen fingerprint (2 Years Warranty) Blue",12199,19999,39,FALSE,4.2,0,https://www.jumia.co.ke/redmi-a7-by-xiaomi-6.88-64gb-rom-3gb-ram-50mp-5200mah-dual-sim-on-screen-fingerprint-2-years-warranty-blue-327542859.html,07/26/26 13:42,64,3,5200,50,Good,Entry (5k-15k),0.537
smartphones,"Infinix Hot 60i'6.7 Inches,6GB RAM+128GB ROM""Dual SIM'5000 MAh Battery+WATHC EARBUDS COVER BLACK","Infinix Hot 60i'6.7 Inches,6GB RAM+128GB ROM""Dual SIM'5000 MAh Battery+WATHC EARBUDS COVER BLACK",16450,29999,45.2,FALSE,4.1,0,https://www.jumia.co.ke/infinix-hot-60i6.7-inches6gb-ram128gb-romdual-sim5000-mah-batterywathc-earbuds-cover-black-319432676.html,07/26/26 13:42,128,6,5000,,Good,Mid-Range (15k-30k),0.546
smartphones,"Samsung Samsung Galaxy A17 - 6.7"" Super AMOLED, 8GB RAM, 256GB, 4G, Blue","Samsung Samsung Galaxy A17 - 6.7"" Super AMOLED, 8GB RAM, 256GB, 4G, Blue",24700,40000,38.2,FALSE,4.5,0,https://www.jumia.co.ke/samsung-samsung-galaxy-a17-6.7-super-amoled-8gb-ram-256gb-4g-blue-190119242.html,07/26/26 13:42,8,8,,,Excellent,Mid-Range (15k-30k),0.565
smartphones,"Samsung Galaxy A07 4G, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black (2YRs WRTY) + FREE Back cover & Adapter","Samsung  Galaxy A07 4G, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black (2YRs WRTY) + FREE Back cover & Adapter",13299,18999,30,FALSE,4,0,https://www.jumia.co.ke/samsung-galaxy-a07-4g-6.7-64gb-4gb-ram-dual-sim-5000mah-black-2yrs-wrty-free-back-cover-adapter-278229587.html,07/26/26 13:42,64,4,5000,,Good,Entry (5k-15k),0.49
smartphones,"Redmi Note 15 Pro, 6.83"" AMOLED, 256GB + 8GB RAM (Dual SIM), 50MP, Multi-Directional PDAF, (2YRs WRTY)","Redmi Note 15 Pro, 6.83"" AMOLED, 256GB + 8GB RAM (Dual SIM), 50MP, Multi-Directional PDAF, (2YRs WRTY)",33999,45999,26.1,FALSE,4.5,0,https://www.jumia.co.ke/redmi-note-15-pro-6.83-amoled-256gb-8gb-ram-dual-sim-50mp-multi-directional-pdaf-2yrs-wrty-326766561.html,07/26/26 13:42,256,8,,50,Excellent,Premium (30k-50k),0.528
smartphones,"Samsung Samsung Galaxy A16 5G - 4GB RAM, 128GB Storage, 6.7"" AMOLED, 50MP Camera, Android 14","Samsung Samsung Galaxy A16 5G - 4GB RAM, 128GB Storage, 6.7"" AMOLED, 50MP Camera, Android 14",17499,45999,62,TRUE,4,0,https://www.jumia.co.ke/samsung-samsung-galaxy-a16-5g-4gb-ram-128gb-storage-6.7-amoled-50mp-camera-android-14-297108198.html,07/26/26 13:42,128,4,,50,Good,Mid-Range (15k-30k),0.586
smartphones,"Tecno SPARK 50 4G 128GB ROM+ 8GB RAM 6.78"" SCREEN 120Hz Refresh Rate 7000mAh Battery 50MP CAMERA ANDROID 16 COMES WITH FREE LED WATCH , POWERBANK AND AIRPODS FOR YOU blue","Tecno SPARK 50 4G 128GB ROM+ 8GB RAM 6.78"" SCREEN 120Hz Refresh Rate 7000mAh Battery 50MP CAMERA ANDROID 16  COMES WITH FREE    LED WATCH , POWERBANK AND AIRPODS FOR YOU  blue",19259,30999,37.9,FALSE,4,0,https://www.jumia.co.ke/tecno-spark-50-4g-128gb-rom-8gb-ram-6.78-screen-120hz-refresh-rate-7000mah-battery-50mp-camera-android-16-comes-with-free-led-watch-powerbank-and-airpods-for-you-blue-327606872.html,07/26/26 13:42,128,8,7000,50,Good,Mid-Range (15k-30k),0.514
smartphones,"Samsung GALAXY A17, 6.7'' HD+, 6GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh/24 MONTHS WARRANTY+AWESOME GIFTS GRAY.","Samsung GALAXY A17, 6.7'' HD+, 6GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh/24 MONTHS WARRANTY+AWESOME GIFTS GRAY.",22250,35000,36.4,FALSE,4.1,0,https://www.jumia.co.ke/samsung-galaxy-a17-6.7-hd-6gb-ram-128gb-rom-dual-sim-50mp-5000mah24-months-warrantyawesome-gifts-gray.-325431413.html,07/26/26 13:42,128,6,5000,50,Good,Mid-Range (15k-30k),0.519
smartphones,"Smarta 2, IPS LCD Display, 5"", 32GB ROM + 2GB RAM (Dual SIM), 3300mAh + FREE GIFTS(WATCH+EARPHONES+HEADPHONES+FLASH DISK)","Smarta 2, IPS LCD Display, 5"", 32GB ROM + 2GB RAM (Dual SIM), 3300mAh + FREE GIFTS(WATCH+EARPHONES+HEADPHONES+FLASH DISK)",3839,3999,4,FALSE,4.7,0,https://www.jumia.co.ke/neon-smarta-2-ips-lcd-display-5-32gb-rom-2gb-ram-dual-sim-3300mah-free-giftswatchearphonesheadphonesflash-disk-327743113.html,07/26/26 13:42,32,2,3300,,Excellent,Budget (<5k),0.482
smartphones,"Safaricom Neon Smarta 2, IPS LCD DISPLAY, 5"" Inches, 32GB STORAGE+ 2GB RAM (Dual SIM ), 3300mAh -+GIFTS .","Safaricom  Neon Smarta 2, IPS LCD DISPLAY, 5"" Inches, 32GB STORAGE+ 2GB RAM (Dual SIM ), 3300mAh -+GIFTS .",3490,5000,30.2,FALSE,3.4,0,https://www.jumia.co.ke/safaricom-neon-smarta-2-ips-lcd-display-5-inches-32gb-storage-2gb-ram-dual-sim-3300mah-gifts-.-327366873.html,07/26/26 13:42,32,2,3300,,Average,Budget (<5k),0.431
smartphones,"Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh + FREE GIFTS","Samsung  GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh + FREE GIFTS",17899,20500,12.7,FALSE,3.6,0,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-hd-4gb-ram-128gb-rom-dual-sim-50mp-5000mah-free-gifts-325825502.html,07/26/26 13:42,128,4,5000,50,Good,Mid-Range (15k-30k),0.398
smartphones,"Corn Classy S26 Ultra, 6.67"", 64GB ROM+5GB (2+3 expanded) GB RAM, 5000mAh (Dual SIM) - Titanium (1YR WRTY)","Corn Classy S26 Ultra, 6.67"", 64GB ROM+5GB (2+3 expanded) GB RAM, 5000mAh (Dual SIM) - Titanium (1YR WRTY)",7999,14999,46.7,FALSE,3.8,0,https://www.jumia.co.ke/corn-classy-s26-ultra-6.67-64gb-rom5gb-23-expanded-gb-ram-5000mah-dual-sim-titanium-1yr-wrty-326002032.html,07/26/26 13:42,64,,5000,,Good,Entry (5k-15k),0.52
smartphones,"Infinix Hot 60i 4G""6.7-inch, 6GBRAM+128GB ROM' Battery: 5160mAh Black","Infinix Hot 60i 4G""6.7-inch, 6GBRAM+128GB ROM' Battery: 5160mAh Black",14999,16999,11.8,FALSE,3.6,0,https://www.jumia.co.ke/hot-60i-4g6.7-inch-6gbram128gb-rom-battery-5160mah-infinix-mpg9262044.html,07/26/26 13:42,128,6,5160,,Good,Entry (5k-15k),0.395
smartphones,"Safaricom Neon Smarta 2, IPS LCD DISPLAY, 5"" Inches, 32GB STORAGE+ 2GB RAM (Dual SIM ), 3300mAh -+FEATURE PHONE.","Safaricom  Neon Smarta 2, IPS LCD DISPLAY, 5"" Inches, 32GB STORAGE+ 2GB RAM (Dual SIM ), 3300mAh -+FEATURE PHONE.",3790,5000,24.2,FALSE,4.1,0,https://www.jumia.co.ke/safaricom-neon-smarta-2-ips-lcd-display-5-inches-32gb-storage-2gb-ram-dual-sim-3300mah-feature-phone.-327366845.html,07/26/26 13:42,32,2,3300,,Good,Budget (<5k),0.483
smartphones,"Apple iPhone 17 Pro Max, 6.9"", 256GB Cosmic Orange","Apple iPhone 17 Pro Max, 6.9"", 256GB Cosmic Orange",189490,250000,24.2,FALSE,0,0,https://www.jumia.co.ke/apple-iphone-17-pro-max-6.9-256gb-cosmic-orange-326097446.html,07/26/26 13:42,256,,,,No Rating,Luxury (>50k),0.073
smartphones,"Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP, 5000mAh - Blue(2YRs WRTY)","Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue(2YRs WRTY)",17499,29999,41.7,FALSE,4.3,0,https://www.jumia.co.ke/samsung-galaxy-a15-6.5-display-4gb-ram-128gb-rom-dual-sim-50mp-5000mah-blue2yrs-wrty-175649804.html,07/26/26 13:42,128,4,5000,50,Good,Mid-Range (15k-30k),0.555
smartphones,"Samsung GALAXY AO6 6.7"" Display, 4GB RAM/128GB ROM (Dual Sim)50MP Camera,4G Nertwork, 5000mAh","Samsung GALAXY AO6 6.7"" Display, 4GB RAM/128GB ROM (Dual Sim)50MP Camera,4G Nertwork, 5000mAh",13999,15500,9.7,FALSE,4,0,https://www.jumia.co.ke/samsung-galaxy-ao6-6.7-display-4gb-ram128gb-rom-dual-sim50mp-camera4g-nertwork-5000mah-325391021.html,07/26/26 13:42,128,4,5000,50,Good,Entry (5k-15k),0.429
smartphones,Redmi 15C 128GB Storage Upto 8(4+4)GB Ram 6.9'' 50MP Main Cam +8MP front 6000mAh 33W Fast Charger -BLACK(1 YEAR WARRANTY) +FREE GIFTS(AIRPODS+C-C CABLE+SPEAKER+POWERBANK +WATCH),Redmi 15C 128GB Storage Upto 8(4+4)GB Ram 6.9'' 50MP Main Cam +8MP front 6000mAh 33W Fast Charger -BLACK(1 YEAR WARRANTY) +FREE GIFTS(AIRPODS+C-C CABLE+SPEAKER+POWERBANK +WATCH),15843,19999,20.8,FALSE,0,0,https://www.jumia.co.ke/redmi-15c-128gb-storage-upto-844gb-ram-6.9-50mp-main-cam-8mp-front-6000mah-33w-fast-charger-black1-year-warranty-free-giftsairpodsc-c-cablespeakerpowerbank-watch-327388258.html,07/26/26 13:42,128,,6000,50,No Rating,Mid-Range (15k-30k),0.062
smartphones,"Samsung GALAXY A17 5G, 6.7'' HD+, 8GB RAM + 256GB ROM, DUAL SIM, 50MP, 5000mAh","Samsung GALAXY A17 5G, 6.7'' HD+, 8GB RAM + 256GB ROM, DUAL SIM, 50MP, 5000mAh",27599,40999,32.7,FALSE,3.2,0,https://www.jumia.co.ke/samsung-galaxy-a17-5g-6.7-hd-8gb-ram-256gb-rom-dual-sim-50mp-5000mah-325637533.html,07/26/26 13:42,256,8,5000,50,Average,Mid-Range (15k-30k),0.418
smartphones,"Redmi Note 15 128GB ROM +6GB RAM 6.77"" 120Hz AMOLED Curved Display 108 MP Rear Camera 20MP Selfie 6000mAh Battery","Redmi Note 15 128GB ROM +6GB RAM 6.77"" 120Hz AMOLED Curved Display 108 MP Rear Camera 20MP Selfie 6000mAh Battery",26999,29980,9.9,FALSE,3.7,0,https://www.jumia.co.ke/redmi-note-15-128gb-rom-6gb-ram-6.77-120hz-amoled-curved-display-108-mp-rear-camera-20mp-selfie-6000mah-battery-327106083.html,07/26/26 13:42,128,6,6000,108,Good,Mid-Range (15k-30k),0.4
smartphones,"Samsung Galaxy S26 Ultra, 12GB RAM + 256GB ROM (Dual SIM), 5000mAh, Black","Samsung Galaxy S26 Ultra, 12GB RAM + 256GB ROM (Dual SIM), 5000mAh,  Black",128990,250000,48.4,FALSE,0,0,https://www.jumia.co.ke/samsung-galaxy-s26-ultra-12gb-ram-256gb-rom-dual-sim-5000mah-black-327156070.html,07/26/26 13:42,256,12,5000,,No Rating,Luxury (>50k),0.145
smartphones,"Oppo A6X 6.75'' Display, 256GB ROM + Up to 8GB RAM, 6500mAh 50MP Camera (Dual SIM) - Ice Blue (2 Years Warranty) + Earpods + Led Watch & Power bank","Oppo A6X 6.75'' Display, 256GB ROM + Up to 8GB RAM, 6500mAh 50MP Camera (Dual SIM) - Ice Blue (2 Years Warranty) + Earpods + Led Watch & Power bank",22399,29999,25.3,FALSE,4.5,0,https://www.jumia.co.ke/oppo-a6x-6.75-display-256gb-rom-up-to-8gb-ram-6500mah-50mp-camera-dual-sim-ice-blue-2-years-warranty-earpods-led-watch-power-bank-326659401.html,07/26/26 13:42,256,8,6500,50,Excellent,Mid-Range (15k-30k),0.526
smartphones,"Tecno Spark 50 4G, 6.78'', 128GB + 4GB RAM (+8GB Extended), 6700mAh (Dual SIM)- Ink Black","Tecno Spark 50 4G, 6.78'', 128GB + 4GB RAM (+8GB Extended), 6700mAh (Dual SIM)- Ink Black",17900,19999,10.5,FALSE,5,0,https://www.jumia.co.ke/tecno-spark-50-4g-6.78-128gb-4gb-ram-8gb-extended-6700mah-dual-sim-ink-black-327985629.html,07/26/26 13:43,128,4,6700,,Excellent,Mid-Range (15k-30k),0.532
smartphones,"Tecno SPARK 50 4G 256 GB ROM+ 8GB RAM 6.78"" SCREEN 120Hz Refresh Rate 6300 mAh Battery 50MP COMES WITH FREE STRAP WATCH , POWERBANK AND AIRPODS FOR YOU black","Tecno SPARK 50 4G 256 GB ROM+ 8GB RAM 6.78"" SCREEN 120Hz Refresh Rate 6300 mAh Battery 50MP COMES WITH FREE    STRAP WATCH , POWERBANK AND AIRPODS FOR YOU  black",20569,40999,49.8,FALSE,5,0,https://www.jumia.co.ke/tecno-spark-50-4g-256-gb-rom-8gb-ram-6.78-screen-120hz-refresh-rate-6300-mah-battery-50mp-comes-with-free-strap-watch-powerbank-and-airpods-for-you-black-327418767.html,07/26/26 13:43,256,8,6300,50,Excellent,Mid-Range (15k-30k),0.649
smartphones,"M Horse S25 ULTRA +, 8GB RAM + 128 GB ROM, 6.6'' display, 16MP +32MP CAMERA, 5000mAh, ANDROID 14 SMARTPHONE, FACE UNLOCK, WITH EARPODS AND SILICONE COVER.","M Horse S25 ULTRA +, 8GB RAM + 128 GB ROM, 6.6'' display, 16MP +32MP CAMERA, 5000mAh, ANDROID 14 SMARTPHONE, FACE UNLOCK, WITH EARPODS AND SILICONE COVER.",11949,21999,45.7,FALSE,0,0,https://www.jumia.co.ke/m-horse-s25-ultra-8gb-ram-128-gb-rom-6.6-display-16mp-32mp-camera-5000mah-android-14-smartphone-face-unlock-with-earpods-and-silicone-cover.-328599122.html,07/26/26 13:43,128,8,5000,16,No Rating,Entry (5k-15k),0.137
smartphones,"Safaricom Neon Smarta - 5.0"" Display, 2GB RAM, 32GB Storage, Dual SIM, 3300mAh","Safaricom  Neon Smarta - 5.0"" Display, 2GB RAM, 32GB Storage, Dual SIM, 3300mAh",3999,8999,55.6,FALSE,4.4,0,https://www.jumia.co.ke/safaricom-neon-smarta-5.0-display-2gb-ram-32gb-storage-dual-sim-3300mah-327805596.html,07/26/26 13:43,32,2,3300,,Good,Budget (<5k),0.607
smartphones,"Redmi 15C By Xiaomi, 6.9"", 4GB RAM + 128GB, 6000mAh (Dual Sim) 1 Year warranty - Black +LEDwatch+Earpods+Cable+Cardreader+Powerbank","Redmi 15C By Xiaomi, 6.9"", 4GB RAM + 128GB, 6000mAh (Dual Sim) 1 Year warranty - Black +LEDwatch+Earpods+Cable+Cardreader+Powerbank",15899,29999,47,FALSE,4,0,https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-4gb-ram-128gb-6000mah-dual-sim-1-year-warranty-black-ledwatchearpodscablecardreaderpowerbank-325233796.html,07/26/26 13:43,4,4,6000,,Good,Mid-Range (15k-30k),0.541
smartphones,"Samsung Galaxy A26 5G, 6.7'' 6GB RAM + 128GB ROM, 50MP -black","Samsung Galaxy A26 5G, 6.7'' 6GB RAM + 128GB ROM, 50MP -black",26499,37000,28.4,FALSE,4.3,0,https://www.jumia.co.ke/samsung-galaxy-a26-5g-6.7-6gb-ram-128gb-rom-50mp-black-325609833.html,07/26/26 13:43,128,6,,50,Good,Mid-Range (15k-30k),0.515
smartphones,"Safaricom Neon Smarta 2, IPS LCD Display, 5"", 32GB ROM + 2GB RAM (Dual SIM), 3300mAh","Safaricom Neon Smarta 2, IPS LCD Display, 5"", 32GB ROM + 2GB RAM (Dual SIM), 3300mAh",2880,3490,17.5,FALSE,5,0,https://www.jumia.co.ke/safaricom-neon-smarta-2-ips-lcd-display-5-32gb-rom-2gb-ram-dual-sim-3300mah-327490801.html,07/26/26 13:43,32,2,3300,,Excellent,Budget (<5k),0.552
smartphones,"Safaricom Neon Smarta 2, IPS LCD DISPLAY, 5"" Inches, 32GB ROM + 2GB RAM (Dual SIM), 3300mAh - BLACK","Safaricom Neon Smarta 2, IPS LCD DISPLAY, 5"" Inches, 32GB ROM + 2GB RAM (Dual SIM), 3300mAh - BLACK",2990,5999,50.2,FALSE,3.8,0,https://www.jumia.co.ke/safaricom-neon-smarta-2-ips-lcd-display-5-inches-32gb-rom-2gb-ram-dual-sim-3300mah-black-326283163.html,07/26/26 13:43,32,2,3300,,Good,Budget (<5k),0.531
smartphones,"Infinix Hot 60i 4G, 6.7"", 8GB RAM, 256GB, 5160mAh, Black + Plus Free Gifts.","Infinix Hot 60i 4G, 6.7"", 8GB RAM, 256GB, 5160mAh, Black + Plus Free Gifts.",18150,30000,39.5,FALSE,4.2,0,https://www.jumia.co.ke/infinix-hot-60i-4g-6.7-8gb-ram-256gb-5160mah-black-plus-free-gifts.-319432690.html,07/26/26 13:43,8,8,5160,,Good,Mid-Range (15k-30k),0.538
smartphones,"XIAOMI Xiaomi Redmi Note 15 Pro - 6.83"" AMOLED, 256GB, 8GB RAM, 4G, 50MP Camera, Dual SIM, Black","XIAOMI Xiaomi Redmi Note 15 Pro - 6.83"" AMOLED, 256GB, 8GB RAM, 4G, 50MP Camera, Dual SIM, Black",34450,50000,31.1,FALSE,3.8,0,https://www.jumia.co.ke/xiaomi-xiaomi-redmi-note-15-pro-6.83-amoled-256gb-8gb-ram-4g-50mp-camera-dual-sim-black-305048838.html,07/26/26 13:43,256,8,,50,Good,Premium (30k-50k),0.473
smartphones,"Samsung Galaxy A26 5G, 6.7"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Awesome Black","Samsung Galaxy A26 5G, 6.7"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Awesome Black",30690,50000,38.6,FALSE,4.5,0,https://www.jumia.co.ke/samsung-galaxy-a26-5g6.7-256gb-8gb-ram-dual-sim-5000mah-awesome-black-315259176.html,07/26/26 13:43,256,8,5000,,Excellent,Premium (30k-50k),0.566
smartphones,"Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh Led watch + powerbank + airpods black","Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh Led watch +  powerbank + airpods   black",17599,40999,57.1,FALSE,5,0,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-hd-4gb-ram-128gb-rom-dual-sim-50mp-5000mah-led-watch-powerbank-airpods-black-326856389.html,07/26/26 13:43,128,4,5000,50,Excellent,Mid-Range (15k-30k),0.671
smartphones,"Samsung Galaxy A17, 6.7"", 4GB RAM + 128GB, 5000mAh,COMES WITH FREE LED WATCH , DUAL OTG AND AIRPODS FOR YOU(2YRs WRTY) GREY","Samsung  Galaxy A17, 6.7"", 4GB RAM + 128GB, 5000mAh,COMES WITH FREE LED WATCH , DUAL OTG AND AIRPODS  FOR YOU(2YRs WRTY)  GREY",19199,40999,53.2,FALSE,4,0,https://www.jumia.co.ke/samsung-galaxy-a17-6.7-4gb-ram-128gb-5000mahcomes-with-free-led-watch-dual-otg-and-airpods-for-you2yrs-wrty-grey-326394539.html,07/26/26 13:43,4,4,5000,,Good,Mid-Range (15k-30k),0.56
smartphones,Samsung Galaxy s22 ultra 12+512gb dual sim with esim brand new,Samsung Galaxy s22 ultra 12+512gb dual sim with esim brand new,63100,78000,19.1,FALSE,0,0,https://www.jumia.co.ke/samsung-galaxy-s22-ultra-12512gb-dual-sim-with-esim-brand-new-327119195.html,07/26/26 13:43,,,,,No Rating,Luxury (>50k),0.057
smartphones,"Redmi 15C By Xiaomi, 6.9"", 4GB RAM +128GB, 6000mAh WITH FREE GIFTS ( AIRPODS + LED WATCH +POWERBANK ) - Black","Redmi 15C By Xiaomi, 6.9"", 4GB RAM +128GB, 6000mAh WITH FREE GIFTS ( AIRPODS + LED WATCH +POWERBANK ) - Black",16479,30999,46.8,FALSE,3.8,0,https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-4gb-ram-128gb-6000mah-with-free-gifts-airpods-led-watch-powerbank-black-325233624.html,07/26/26 13:43,4,4,6000,,Good,Mid-Range (15k-30k),0.52
smartphones,"Samsung Galaxy Z Flip3 256GB 8GB RAM 6.7” Foldable AMOLED, Dual Camera, 5G Smartphone","Samsung Galaxy Z Flip3 256GB 8GB RAM 6.7” Foldable AMOLED, Dual Camera, 5G Smartphone",39200,64000,38.8,FALSE,0,0,https://www.jumia.co.ke/samsung-galaxy-z-flip3-256gb-8gb-ram-6.7-foldable-amoled-dual-camera-5g-smartphone-327194861.html,07/26/26 13:43,256,8,,,No Rating,Premium (30k-50k),0.116
smartphones,"XIAOMI Redmi 15C, 6.9'',up to 16GB Extended RAM+ 256GB Storage, Battery: 6000 mAh,1 YEAR WARRANTY - Black + LED Watch + Earpods + Card Reader + Cable + Power bank","XIAOMI Redmi 15C, 6.9'',up to 16GB Extended RAM+ 256GB Storage, Battery: 6000 mAh,1 YEAR WARRANTY - Black + LED Watch + Earpods + Card Reader + Cable + Power bank",21399,29999,28.7,FALSE,4.4,0,https://www.jumia.co.ke/xiaomi-redmi-15c-6.9up-to-16gb-extended-ram-256gb-storage-battery-6000-mah1-year-warranty-black-led-watch-earpods-card-reader-cable-power-bank-325233729.html,07/26/26 13:43,256,,6000,,Good,Mid-Range (15k-30k),0.526
smartphones,"Tecno SPARK 50 4G 128GB ROM+ 4GB RAM 6.78"" SCREEN 120Hz Refresh Rate 7000mAh Battery 50MP CAMERA ANDROID 16+1 YEAR WARRANTY....","Tecno  SPARK 50 4G 128GB ROM+ 4GB RAM 6.78"" SCREEN 120Hz Refresh Rate 7000mAh Battery 50MP CAMERA ANDROID 16+1 YEAR WARRANTY....",19899,29999,33.7,FALSE,4,0,https://www.jumia.co.ke/tecno-spark-50-4g-128gb-rom-4gb-ram-6.78-screen-120hz-refresh-rate-7000mah-battery-50mp-camera-android-161-year-warranty....-327632256.html,07/26/26 13:43,128,4,7000,50,Good,Mid-Range (15k-30k),0.501
smartphones,"Tecno SPARK 50 4G 256GB ROM+ 16GB RAM 6.78"" SCREEN 120Hz Refresh Rate 7000mAh Battery 50MP CAMERA ANDROID 16 COMES WITH FREE LED WATCH , POWERBANK AND AIRPODS FOR YOU blue","Tecno SPARK 50 4G 256GB ROM+ 16GB RAM 6.78"" SCREEN 120Hz Refresh Rate 7000mAh Battery 50MP CAMERA ANDROID 16 COMES WITH FREE    LED WATCH , POWERBANK AND AIRPODS FOR YOU  blue",20569,30999,33.6,FALSE,3.7,0,https://www.jumia.co.ke/tecno-spark-50-4g-256gb-rom-16gb-ram-6.78-screen-120hz-refresh-rate-7000mah-battery-50mp-camera-android-16-comes-with-free-led-watch-powerbank-and-airpods-for-you-blue-327607053.html,07/26/26 13:43,256,16,7000,50,Good,Mid-Range (15k-30k),0.471
smartphones,"XIAOMI Redmi 14C - 6.88"" - 16GB RAM - 256GB","XIAOMI  Redmi 14C - 6.88"" - 16GB RAM - 256GB",17499,21999,20.5,FALSE,3.3,0,https://www.jumia.co.ke/xiaomi-redmi-14c-6.88-16gb-ram-256gb-327979396.html,07/26/26 13:43,16,16,,,Average,Mid-Range (15k-30k),0.391
smartphones,"Tecno CAMON 50 PRO_6.78"" Curved AMOLED 144Hz 1.5K_ 256GB ROM+8GB RAM ( +8GB Extended) (Daul Sim)_Sony LYTIA 700C 50MP Camera (4G)_ 6150mAh 45W - Black + Free Gifts (13 months)","Tecno CAMON 50 PRO_6.78"" Curved AMOLED 144Hz 1.5K_ 256GB ROM+8GB RAM ( +8GB Extended) (Daul Sim)_Sony LYTIA 700C 50MP Camera (4G)_ 6150mAh 45W - Black  + Free Gifts (13 months)",41449,45999,9.9,FALSE,4.3,0,https://www.jumia.co.ke/tecno-camon-50-pro6.78-curved-amoled-144hz-1.5k-256gb-rom8gb-ram-8gb-extended-daul-simsony-lytia-700c-50mp-camera-4g-6150mah-45w-black-free-gifts-13-months-326943497.html,07/26/26 13:43,256,8,6150,50,Good,Premium (30k-50k),0.46
smartphones,"Tecno Pop 20 Smartphone - 6.75"" Display, 64GB Storage, 4GB RAM, 4G, Titanium Grey","Tecno  Pop 20 Smartphone - 6.75"" Display, 64GB Storage, 4GB RAM, 4G, Titanium Grey",14300,16999,15.9,FALSE,5,0,https://www.jumia.co.ke/tecno-pop-20-smartphone-6.75-display-64gb-storage-4gb-ram-4g-titanium-grey-328005384.html,07/26/26 13:43,64,4,,,Excellent,Entry (5k-15k),0.548
smartphones,"Samsung Galaxy A07, 6.7'', 4GB RAM + 128GB Storage (Dual), 5000mAh Battery-2 YEARS WARRANTY with complete charger","Samsung Galaxy A07, 6.7'', 4GB RAM + 128GB Storage (Dual), 5000mAh Battery-2 YEARS WARRANTY with complete charger",15399,19999,23,FALSE,4.5,0,https://www.jumia.co.ke/samsung-galaxy-a07-6.7-4gb-ram-128gb-storage-dual-5000mah-battery-2-years-warranty-with-complete-charger-325428438.html,07/26/26 13:43,128,4,5000,,Excellent,Mid-Range (15k-30k),0.519
smartphones,"Samsung Galaxy A36 5G, 6.7"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Awesome Lime","Samsung Galaxy A36 5G, 6.7"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Awesome Lime",37885,49999,24.2,FALSE,4,0,https://www.jumia.co.ke/samsung-galaxy-a36-5g-6.7-256gb-8gb-ram-dual-sim-5000mah-awesome-lime-326311816.html,07/26/26 13:43,256,8,5000,,Good,Premium (30k-50k),0.473
smartphones,"Oale Pop9 4G,6.6 Inches,Dual SIM,3GB Ram And 64GB Rom,fingerprint Enabled,big Battery 5075,Type C Charger - & Free Gift..","Oale Pop9 4G,6.6 Inches,Dual SIM,3GB Ram And 64GB Rom,fingerprint Enabled,big Battery 5075,Type C Charger - & Free Gift..",8000,10500,23.8,FALSE,5,0,https://www.jumia.co.ke/oale-pop9-4g6.6-inchesdual-sim3gb-ram-and-64gb-romfingerprint-enabledbig-battery-5075type-c-charger-free-gift..-319301495.html,07/26/26 13:43,64,3,,,Excellent,Entry (5k-15k),0.571
