Product Name,Brand,Price (KSh),Original Price (KSh),Discount %,High Discount Flag,Rating,Rating Category,Value Score,Price Category,Storage (GB),RAM (GB),Battery (mAh),Camera (MP),Product URL,Scraped Date
"Tecno POP 20 4G, 6.75'', 128GB +4GB RAM (Dual SIM), 5000MAh - Black .",Tecno,13990,15000,6.7,FALSE,5,Excellent,0.357,Entry (5k-15k),N/A,4,5000,N/A,https://www.jumia.co.ke/tecno-pop-20-4g-6.75-128gb-4gb-ram-dual-sim-5000mah-black-1yr-wrty.-327543910.html,07/23/26 19:47
"Itel A200, 6.75"", 128GB ROM, 8GB RAM (3GB + 5GB Extension), 13MP Rear Camera + 5MP Front, 5000mAh...",Itel,13500,15900,15.1,FALSE,5,Excellent,0.37,Entry (5k-15k),128,8,5000,13,https://www.jumia.co.ke/itel-a200-6.75-128gb-rom-8gb-ram-3gb-5gb-extension-13mp-rear-camera-5mp-front-5000mah-orange1yr-wrty-328001979.html,07/23/26 19:48
"Nokia C1 2nd Edition, 5.45"" - 16GB + 1GB (Dual Sim) 2500 mAh, 5MP, Blue - Clearance Sale!!",Nokia,4999,8799,43.2,FALSE,5,Excellent,1,Budget (<5k),N/A,N/A,2500,5,https://www.jumia.co.ke/nokia-c1-2nd-edition-5.45-16gb-1gb-dual-sim-2500-mah-5mp-blue-clearance-sale-327671364.html,07/23/26 19:47
"LESIA L258 2.4"" Dual Sim 1500mah feature phone with Camera",Lesia,899,1414,36.4,FALSE,5,Excellent,5.562,Budget (<5k),N/A,N/A,1500,N/A,https://www.jumia.co.ke/lesia-l258-2.4-dual-sim-1500mah-feature-phone-with-camera-326954173.html,07/23/26 19:48
"Vivo V70, 6.8"", 12GB RAM + 512GB (Dual SIM), 6500mAh, 90W Fast Charge, Grey",Vivo,82449,93499,11.8,FALSE,5,Excellent,0.061,Luxury (>50k),N/A,12,6500,N/A,https://www.jumia.co.ke/vivo-v70-6.8-12gb-ram-512gb-dual-sim-6500mah-90w-fast-charge-grey-327710867.html,07/23/26 19:49
"LESIA L281 2.8""QVGA Dual Sim 2500mah feature phone with Camera",Lesia,899,1358,33.8,FALSE,5,Excellent,5.562,Budget (<5k),N/A,N/A,2500,N/A,https://www.jumia.co.ke/lesia-l281-2.8qvga-dual-sim-2500mah-feature-phone-with-camera-326946403.html,07/23/26 19:49
Honor X6c 6.74” 6GB RAM+256GB 4G 5300 mAh - Ocean Cyan- Dual Sim,Honor,21991,,0,FALSE,5,Excellent,0.227,Mid-Range (15k-30k),N/A,6,5300,N/A,https://www.jumia.co.ke/honor-x6c-6.74-6gb-ram256gb-4g-5300-mah-ocean-cyan-dual-sim-1-yr-wrty-327010535.html,07/23/26 19:49
"Vivo Y04, 5500mAh, 4GB RAM + 64GB, 15W Fast Charge, 6.74"", Dual SIM - Gold",Vivo,13999,15399,9.1,FALSE,5,Excellent,0.357,Entry (5k-15k),N/A,4,5500,N/A,https://www.jumia.co.ke/vivo-y04-5500mah-4gb-ram-64gb-15w-fast-charge-6.74-dual-sim-gold-326812005.html,07/23/26 19:50
"Samsung Galaxy A26 5G, 6.7'' 8GB RAM + 256GB ROM, 50MP",Samsung,30639,38999,21.4,FALSE,5,Excellent,0.163,Premium (30k-50k),256,8,N/A,50,https://www.jumia.co.ke/samsung-galaxy-a26-5g-6.7-8gb-ram-256gb-rom-50mp-326302028.html,07/23/26 19:50
"Vivo V60 5G - 6.77"", 12GB RAM + 256GB (Dual SIM), 6500mAh - Gold",Vivo,62719,70399,10.9,FALSE,5,Excellent,0.08,Luxury (>50k),N/A,12,6500,N/A,https://www.jumia.co.ke/vivo-v60-5g-6.77-12gb-ram-256gb-dual-sim-6500mah-gold-326141269.html,07/23/26 19:50
"Corn C17 Max, 6.67'', 64GB Storage + 5GB (2+3)GB Extended RAM, 5000mAh - White .",Corn,7699,14999,48.7,FALSE,5,Excellent,0.649,Entry (5k-15k),64,N/A,5000,N/A,https://www.jumia.co.ke/corn-c17-max-6.67-64gb-storage-5gb-23gb-extended-ram-5000mah-white-1yr-wrty.-326002027.html,07/23/26 19:50
"Samsung Galaxy A07 4G, 6.7"", 128GB ROM + 4GB RAM (Dual SIM), 5000mAh, Black",Samsung,15750,19999,21.2,FALSE,5,Excellent,0.317,Mid-Range (15k-30k),128,4,5000,N/A,https://www.jumia.co.ke/samsung-galaxy-a07-4g-6.7-128gb-rom-4gb-ram-dual-sim-5000mah-black-2yrs-wrty-327275679.html,07/23/26 19:49
"LESIA L252 2.4""QVGA, 1200mAh (Dual SIM) Feature Phone with Camera - Blue",Lesia,910,1246,27,FALSE,5,Excellent,5.495,Budget (<5k),N/A,N/A,1200,N/A,https://www.jumia.co.ke/lesia-l252-2.4qvga-1200mah-dual-sim-feature-phone-with-camera-blue-1yr-wrty-326954139.html,07/23/26 19:48
"Infinix Hot 60i 4G, 6.7"", 6GB RAM + 128GB, 5160mAh (Dual SIM), Sleek Black",Infinix,16299,25999,37.3,FALSE,5,Excellent,0.307,Mid-Range (15k-30k),N/A,6,5160,N/A,https://www.jumia.co.ke/hot-60i-4g-6.7-6gb-ram-128gb-5160mah-dual-sim-sleek-black-2yrs-wrty-infinix-mpg10187719.html,07/23/26 19:48
"Honor X5c Plus 6.74"" 4GB RAM+128GB 4G 5260 mAh Ocean Cyan - Dual Sim",Honor,14299,15500,7.7,FALSE,5,Excellent,0.35,Entry (5k-15k),N/A,4,5260,N/A,https://www.jumia.co.ke/honor-x5c-plus-6.74-4gb-ram128gb-4g-5260-mah-ocean-cyan-dual-sim-1yr-wrty-326840889.html,07/23/26 19:48
"LESIA L282 2.8""QVGA Dual Sim 1400mah feature phone with Camera",Lesia,899,1526,41.1,FALSE,5,Excellent,5.562,Budget (<5k),N/A,N/A,1400,N/A,https://www.jumia.co.ke/lesia-l282-2.8qvga-dual-sim-1400mah-feature-phone-with-camera-326935340.html,07/23/26 19:48
"Corn 100 Max 6.67"", 64GB ROM, 5(2+3)GB RAM, 5000mAh (Dual SIM), Green",Corn,7999,12999,38.5,FALSE,4.9,Excellent,0.613,Entry (5k-15k),64,N/A,5000,N/A,https://www.jumia.co.ke/corn-100-max-6.67-64gb-rom-523gb-ram-5000mah-dual-sim-green-1yr-wrty-326002019.html,07/23/26 19:49
"Corn C17 Max, 6.67'', 64GB Storage + 5GB (2+3)GB Extended RAM, 5000mAh - Blue .",Corn,7699,14999,48.7,FALSE,4.9,Excellent,0.636,Entry (5k-15k),64,N/A,5000,N/A,https://www.jumia.co.ke/corn-c17-max-6.67-64gb-storage-5gb-23gb-extended-ram-5000mah-blue-1yr-wrty.-326002040.html,07/23/26 19:51
"Samsung A17, 5G 6.7'' HD+, 8GB RAM + 256 GB ROM, DUAL SIM, 50MP, 5000mAh",Samsung,24599,39999,38.5,FALSE,4.8,Excellent,0.195,Mid-Range (15k-30k),256,8,5000,50,https://www.jumia.co.ke/samsung-a17-5g-6.7-hd-8gb-ram-256-gb-rom-dual-sim-50mp-5000mah-326115038.html,07/23/26 19:47
"Tecno Spark 50 4G, 6.78'', 128GB + 4GB RAM, 6700mAh (Dual SIM), Grey",Tecno,16570,18000,7.9,FALSE,4.8,Excellent,0.29,Mid-Range (15k-30k),N/A,4,6700,N/A,https://www.jumia.co.ke/tecno-spark-50-4g-6.78-128gb-4gb-ram-6700mah-dual-sim-grey-328026396.html,07/23/26 19:47
"XIAOMI Redmi A7 Pro, 6.9"", 64GB + 4GB RAM (Dual Sim), 6000mAh - Black",Xiaomi,13500,15000,10,FALSE,4.8,Excellent,0.356,Entry (5k-15k),N/A,4,6000,N/A,https://www.jumia.co.ke/xiaomi-redmi-a7-pro-6.9-64gb-4gb-ram-dual-sim-6000mah-black-327531874.html,07/23/26 19:47
"Itel A200, 6.75"", 64GB + 3GB RAM (Dual SIM), 5000mAh - Blue",Itel,10760,12000,10.3,FALSE,4.8,Excellent,0.446,Entry (5k-15k),N/A,3,5000,N/A,https://www.jumia.co.ke/itel-a200-6.75-64gb-3gb-ram-dual-sim-5000mah-blue-1yr-wrty-327920406.html,07/23/26 19:47
"Corn 100 Max 6.67"", 64GB ROM, 5(2+3)GB RAM, 5000mAh (Dual SIM), Black",Corn,7999,14999,46.7,FALSE,4.8,Excellent,0.6,Entry (5k-15k),64,N/A,5000,N/A,https://www.jumia.co.ke/corn-100-max-6.67-64gb-rom-523gb-ram-5000mah-dual-sim-black-1yr-wrty-326046166.html,07/23/26 19:50
Honor Play 10 6.74” 3GB RAM + 64GB 4G 5000 mAh Midnight Black - Dual Card Sim,Honor,11500,,0,FALSE,4.8,Excellent,0.417,Entry (5k-15k),N/A,3,5000,N/A,https://www.jumia.co.ke/honor-play-10-6.74-3gb-ram-64gb-4g-5000-mah-midnight-black-dual-card-sim-1yr-wrty-326846533.html,07/23/26 19:47
"Oppo A6 Pro 4G, 6.57"", 8GB RAM + 256GB ROM, IP69, 80W Flash Charge, 7000mA, (Dual Sim) Stellar Blue",Oppo,40999,45999,10.9,FALSE,4.8,Excellent,0.117,Premium (30k-50k),256,8,N/A,N/A,https://www.jumia.co.ke/oppo-a6-pro-4g-6.57-8gb-ram-256gb-rom-ip6980w-flash-charge7000madual-sim-stellar-blue-2yrs-wrty-325911441.html,07/23/26 19:47
"Samsung GALAXY A17, 6.7'' HD+, 6GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh/ WARRANTY+AWESOME",Samsung,22350,35000,36.1,FALSE,4.7,Excellent,0.21,Mid-Range (15k-30k),128,6,5000,50,https://www.jumia.co.ke/samsung-galaxy-a17-6.7-hd-6gb-ram-128gb-rom-dual-sim-50mp-5000mah24-months-warrantyawesome-gifts-for-you.-325919901.html,07/23/26 19:47
"Infinix Smart 20, 6.78"", 128GB + 4GB RAM, 5200mAh (Dual SIM) - Black",Infinix,14650,15000,2.3,FALSE,4.7,Excellent,0.321,Entry (5k-15k),N/A,4,5200,N/A,https://www.jumia.co.ke/infinix-smart-20-6.78-128gb-4gb-ram-5200mah-dual-sim-black-1yr-wrty-327608245.html,07/23/26 19:47
"Redmi Note 15, 6.77"", 8GB RAM + 256GB, 6000mAh, Black",Xiaomi,30680,34999,12.3,FALSE,4.7,Excellent,0.153,Premium (30k-50k),N/A,8,6000,N/A,https://www.jumia.co.ke/redmi-note-15-by-xiaomi-6.77-8gb-ram-256gb-6000mah-black-25-months-warranty-326642290.html,07/23/26 19:47
"Honor X5c Plus 6.74"" 4GB RAM+128GB 4G 5260 mAh Midnight Black - Dual Sim",Honor,15500,,0,FALSE,4.6,Excellent,0.297,Mid-Range (15k-30k),N/A,4,5260,N/A,https://www.jumia.co.ke/honor-x5c-plus-6.74-4gb-ram128gb-4g-5260-mah-midnight-black-dual-sim-1yr-wrty-326840829.html,07/23/26 19:47
Nokia 106,Nokia,1499,1500,0.1,FALSE,4.5,Excellent,3.002,Budget (<5k),N/A,N/A,N/A,N/A,https://www.jumia.co.ke/nokia-106-327928903.html,07/23/26 19:51
